gene_name,drug_name,interaction_source_db_name,interaction_score,interaction_type
ADRB3,DIPIVEFRIN HYDROCHLORIDE,ChEMBL,1,agonist
PLG,LANOTEPLASE,ChEMBL,1,activator
KCND3,VERNAKALANT HYDROCHLORIDE,ChEMBL,1,blocker
RPL28,MT-3724,ChEMBL,1,inhibitor
AVPR1A,VASOPRESSIN TANNATE,ChEMBL,1,agonist
HMGCR,PITAVASTATIN MAGNESIUM,ChEMBL,1,inhibitor
KIT,ENMD-2076,ChEMBL,1,inhibitor
GRIN2D,CNS-5161,ChEMBL,1,blocker
MAP2K2,SELUMETINIB,ChEMBL,1,inhibitor
MAP2K1,CI-1040,ChEMBL,1,inhibitor
SLC10A2,ELOBIXIBAT,ChEMBL,1,inhibitor
NR3C1,METHYLPREDNISOLONE SODIUM SUCCINATE,ChEMBL,1,agonist
HMGCR,FLUVASTATIN,ChEMBL,1,inhibitor
TUBA1B,PACLITAXEL,ChEMBL,1,inhibitor
CACNA1H,PREGABALIN,ChEMBL,1,modulator
AGTR1,TASOSARTAN,ChEMBL,1,inhibitor
ANGPT2,FARICIMAB,ChEMBL,1,inhibitor
MRPL36,CLINDAMYCIN HYDROCHLORIDE,ChEMBL,1,inhibitor
ADRA1D,SERTINDOLE,ChEMBL,1,inhibitor
ADRA1A,PRAZOSIN HYDROCHLORIDE,ChEMBL,1,inhibitor
CD4,PRILIXIMAB,ChEMBL,1,negative modulator
GABRG1,PADSEVONIL,ChEMBL,1,agonist
NCSTN,TARENFLURBIL,ChEMBL,1,modulator
VDR,2MD,ChEMBL,1,agonist
CHRM1,PROPANTHELINE BROMIDE,ChEMBL,1,inhibitor
HTR1A,BEFIRADOL,ChEMBL,1,agonist
RPL35,MT-3724,ChEMBL,1,inhibitor
CDK20,AT-7519,ChEMBL,1,inhibitor
GABRA2,GLUTETHIMIDE,ChEMBL,1,positive modulator
MRPL36,CETHROMYCIN,ChEMBL,1,inhibitor
OPRK1,NALTREXONE HYDROCHLORIDE,ChEMBL,1,inhibitor
LPAR1,BMS-986020,ChEMBL,1,inhibitor
GLP1R,LIRAGLUTIDE,ChEMBL,1,agonist
RPS10,MT-3724,ChEMBL,1,inhibitor
ADRA1B,TERAZOSIN HYDROCHLORIDE,ChEMBL,1,inhibitor
NR3C2,FLUDROCORTISONE ACETATE,ChEMBL,1,agonist
ITGA2B,EPTIFIBATIDE,ChEMBL,1,inhibitor
IMPDH2,MYCOPHENOLATE,ChEMBL,1,inhibitor
HCN4,IVABRADINE HYDROCHLORIDE,ChEMBL,1,blocker
AR,METHANDROSTENOLONE,ChEMBL,1,agonist
KCNJ11,DIAZOXIDE,ChEMBL,1,potentiator
RPSA,AMIKACIN,ChEMBL,1,inhibitor
CHRNB2,ABT-560,ChEMBL,1,modulator
DHCR24,TRIPARANOL,ChEMBL,1,inhibitor
GABRA5,PAGOCLONE,ChEMBL,1,positive modulator
GPC3,CODRITUZUMAB,ChEMBL,1,inhibitor
PIK3R5,PAXALISIB,ChEMBL,1,inhibitor
PPARG,ARHALOFENATE,ChEMBL,1,modulator
PARP2,2X-121,ChEMBL,1,inhibitor
DHFR,METHOTREXATE,ChEMBL,1,inhibitor
IL13,LEBRIKIZUMAB,ChEMBL,1,inhibitor
CACNG7,SULOCTIDIL,ChEMBL,1,blocker
MTOR,VISTUSERTIB,ChEMBL,1,inhibitor
GABRQ,BUTALBITAL,ChEMBL,1,positive modulator
DRD2,QUINAGOLIDE,ChEMBL,1,agonist
GRIN1,ESKETAMINE,ChEMBL,1,negative modulator
RPSA,CHLORAMPHENICOL SODIUM SUCCINATE,ChEMBL,1,inhibitor
