gene,drug,interaction
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
11,11,1
12,13,1
13,14,1
14,15,1
15,16,1
16,17,1
17,18,1
18,19,1
20,21,1
21,22,1
23,24,1
24,25,1
25,3,1
26,26,1
27,27,1
16,28,1
29,30,1
31,3,1
32,32,1
33,33,1
36,36,1
37,37,1
38,38,1
39,39,1
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
47,47,1
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
34,58,1
58,60,1
59,61,1
60,62,1
62,64,1
63,65,1
65,67,1
51,68,1
66,69,1
52,70,1
67,71,1
27,72,1
68,73,1
70,75,1
39,76,1
12,77,1
67,63,1
72,79,1
74,81,1
75,82,1
52,83,1
77,84,1
78,85,1
61,86,1
11,87,1
79,80,1
81,89,1
82,27,1
83,90,1
84,91,1
85,92,1
86,93,1
88,95,1
90,97,1
92,99,1
93,100,1
16,101,1
94,102,1
95,26,1
96,103,1
97,104,1
98,90,1
99,105,1
82,106,1
100,107,1
27,108,1
101,109,1
82,84,1
103,112,1
104,114,1
105,115,1
106,116,1
38,117,1
17,119,1
107,120,1
73,121,1
108,59,1
110,123,1
13,124,1
111,125,1
112,59,1
113,126,1
114,127,1
115,128,1
116,129,1
117,130,1
11,131,1
15,132,1
119,133,1
120,134,1
121,135,1
122,136,1
123,137,1
124,138,1
125,139,1
126,140,1
124,141,1
45,142,1
6,143,1
61,144,1
128,79,1
129,146,1
130,147,1
131,148,1
132,149,1
133,149,1
93,150,1
55,150,1
63,85,1
78,152,1
53,153,1
7,154,1
136,153,1
135,155,1
137,157,1
18,157,1
138,158,1
85,143,1
139,159,1
140,161,1
141,162,1
142,162,1
144,163,1
20,164,1
59,164,1
59,165,1
130,164,1
73,165,1
79,166,1
145,67,1
73,61,1
82,61,1
27,167,1
146,80,1
147,80,1
62,80,1
147,108,1
42,169,1
148,170,1
39,171,1
16,172,1
139,173,1
149,173,1
13,173,1
77,174,1
154,174,1
155,174,1
154,175,1
156,175,1
104,176,1
101,175,1
101,176,1
152,178,1
67,114,1
92,114,1
157,119,1
154,179,1
159,182,1
160,183,1
162,185,1
163,184,1
164,185,1
165,185,1
166,186,1
168,186,1
169,186,1
170,186,1
50,187,1
171,82,1
172,82,1
173,82,1
174,82,1
175,188,1
176,188,1
177,44,1
178,189,1
180,191,1
181,190,1
182,192,1
67,193,1
119,194,1
44,120,1
183,194,1
75,195,1
184,195,1
185,196,1
186,195,1
187,197,1
190,200,1
191,201,1
192,202,1
4,203,1
81,204,1
193,205,1
194,90,1
195,206,1
196,207,1
53,208,1
197,97,1
155,97,1
198,97,1
77,97,1
104,97,1
199,209,1
176,210,1
69,211,1
200,212,1
117,214,1
191,215,1
202,216,1
114,214,1
203,218,1
117,219,1
52,220,1
204,221,1
205,222,1
206,221,1
207,223,1
208,224,1
77,218,1
193,218,1
155,218,1
104,218,1
209,225,1
210,226,1
211,227,1
212,229,1
132,88,1
55,88,1
70,77,1
134,77,1
213,77,1
93,230,1
214,231,1
134,230,1
132,77,1
63,230,1
55,77,1
80,77,1
215,232,1
216,233,1
217,234,1
16,235,1
218,236,1
62,236,1
73,236,1
149,49,1
220,49,1
120,238,1
222,49,1
223,49,1
224,238,1
114,238,1
225,239,1
226,240,1
227,241,1
74,242,1
74,243,1
137,245,1
17,245,1
98,247,1
231,248,1
232,249,1
161,250,1
233,252,1
234,253,1
235,254,1
61,254,1
79,255,1
236,256,1
237,257,1
80,95,1
132,95,1
129,258,1
238,259,1
239,260,1
241,262,1
16,263,1
242,264,1
243,265,1
245,267,1
116,268,1
246,269,1
247,270,1
248,271,1
249,272,1
250,274,1
251,275,1
213,276,1
134,276,1
63,278,1
88,279,1
254,280,1
134,281,1
255,282,1
256,284,1
82,286,1
258,287,1
20,288,1
62,21,1
259,289,1
51,64,1
82,290,1
85,291,1
260,292,1
261,293,1
33,295,1
123,297,1
123,299,1
264,301,1
74,302,1
23,303,1
265,304,1
24,302,1
136,305,1
117,306,1
114,307,1
114,306,1
266,308,1
267,310,1
268,311,1
267,312,1
81,313,1
269,314,1
11,315,1
270,317,1
271,319,1
161,320,1
105,321,1
272,323,1
273,324,1
18,326,1
237,328,1
18,329,1
140,330,1
275,332,1
276,333,1
278,335,1
279,64,1
280,336,1
130,68,1
130,293,1
62,293,1
73,337,1
73,106,1
27,337,1
146,64,1
218,337,1
145,64,1
261,337,1
59,337,1
20,64,1
20,338,1
261,339,1
281,340,1
282,340,1
284,342,1
285,343,1
101,63,1
92,344,1
153,346,1
104,347,1
154,345,1
77,347,1
156,347,1
155,347,1
156,348,1
101,349,1
77,349,1
287,64,1
288,64,1
85,351,1
290,352,1
291,351,1
230,354,1
102,355,1
293,356,1
291,357,1
214,358,1
295,360,1
295,361,1
296,363,1
50,364,1
297,170,1
298,170,1
95,170,1
300,170,1
301,170,1
37,366,1
33,368,1
85,369,1
148,26,1
301,371,1
96,371,1
300,371,1
305,371,1
216,372,1
307,373,1
308,372,1
309,373,1
253,374,1
311,283,1
185,375,1
307,376,1
312,377,1
120,378,1
119,379,1
140,380,1
313,381,1
314,383,1
315,384,1
316,385,1
208,386,1
317,387,1
318,388,1
193,7,1
319,388,1
255,7,1
214,389,1
320,391,1
310,392,1
321,394,1
322,395,1
324,395,1
325,395,1
326,397,1
110,398,1
327,399,1
82,288,1
130,288,1
328,400,1
329,401,1
330,402,1
331,402,1
332,403,1
333,404,1
334,405,1
335,406,1
216,407,1
289,408,1
336,409,1
337,410,1
338,411,1
339,412,1
340,413,1
15,414,1
313,416,1
341,417,1
84,419,1
290,420,1
343,421,1
32,18,1
123,416,1
344,422,1
294,424,1
347,428,1
348,429,1
349,430,1
350,431,1
310,432,1
352,433,1
353,434,1
354,435,1
145,436,1
355,437,1
357,440,1
139,441,1
10,442,1
134,278,1
55,278,1
55,444,1
63,444,1
132,278,1
360,445,1
245,446,1
361,447,1
362,448,1
363,448,1
364,448,1
365,448,1
367,448,1
368,450,1
369,451,1
370,452,1
371,453,1
372,453,1
373,3,1
374,3,1
375,3,1
133,73,1
247,454,1
216,455,1
377,456,1
378,456,1
380,459,1
313,460,1
381,461,1
12,279,1
210,462,1
213,279,1
382,463,1
133,464,1
134,465,1
132,465,1
383,466,1
384,466,1
385,466,1
386,467,1
145,21,1
387,468,1
56,469,1
388,470,1
389,162,1
348,472,1
390,474,1
391,475,1
361,476,1
228,477,1
187,478,1
392,479,1
393,479,1
394,480,1
101,84,1
395,480,1
396,481,1
397,482,1
398,483,1
399,280,1
400,484,1
401,485,1
132,486,1
63,486,1
79,153,1
402,173,1
290,489,1
403,162,1
107,491,1
69,192,1
81,492,1
20,493,1
404,494,1
39,497,1
311,500,1
94,194,1
37,502,1
55,503,1
52,504,1
261,165,1
254,506,1
407,162,1
408,97,1
54,155,1
16,507,1
68,149,1
221,59,1
410,190,1
411,509,1
345,510,1
63,511,1
247,512,1
145,80,1
146,106,1
412,185,1
414,506,1
117,516,1
384,517,1
416,519,1
235,521,1
418,173,1
156,176,1
119,187,1
177,491,1
88,152,1
419,522,1
132,75,1
320,523,1
82,80,1
420,524,1
81,525,1
404,526,1
79,487,1
44,187,1
421,527,1
44,528,1
422,529,1
216,149,1
52,530,1
423,531,1
52,532,1
424,533,1
425,535,1
426,536,1
117,538,1
117,504,1
427,497,1
267,539,1
11,540,1
66,526,1
5,543,1
429,496,1
168,496,1
430,517,1
88,85,1
76,151,1
76,152,1
12,151,1
134,151,1
431,151,1
54,154,1
7,155,1
138,545,1
157,545,1
18,546,1
257,548,1
232,549,1
432,549,1
432,550,1
232,551,1
237,550,1
32,157,1
38,552,1
433,553,1
98,71,1
434,555,1
398,483,1
435,162,1
436,162,1
437,556,1
147,487,1
73,487,1
62,487,1
218,165,1
82,165,1
218,51,1
42,51,1
130,493,1
59,493,1
62,153,1
65,153,1
20,153,1
27,67,1
147,167,1
59,167,1
73,167,1
146,167,1
261,167,1
42,167,1
59,106,1
62,106,1
261,106,1
147,557,1
51,557,1
218,557,1
65,557,1
261,557,1
146,108,1
79,169,1
62,169,1
27,169,1
59,169,1
145,169,1
438,558,1
440,520,1
378,520,1
100,520,1
417,107,1
152,560,1
154,561,1
77,561,1
153,560,1
67,560,1
67,178,1
77,562,1
153,562,1
104,562,1
67,563,1
156,564,1
152,565,1
67,564,1
92,566,1
155,563,1
101,563,1
154,563,1
104,567,1
156,567,1
153,567,1
153,114,1
101,114,1
287,169,1
441,568,1
156,569,1
235,570,1
61,521,1
404,184,1
36,71,1
58,571,1
442,71,1
443,185,1
444,572,1
445,184,1
365,185,1
447,185,1
448,185,1
449,185,1
37,573,1
450,62,1
11,574,1
308,473,1
172,575,1
199,473,1
352,576,1
451,577,1
107,44,1
119,491,1
452,103,1
154,193,1
85,578,1
453,579,1
272,115,1
22,581,1
45,582,1
185,583,1
85,584,1
294,585,1
455,586,1
119,528,1
456,587,1
175,586,1
94,528,1
169,120,1
183,120,1
458,195,1
459,195,1
85,116,1
307,589,1
313,590,1
460,591,1
444,592,1
444,594,1
81,595,1
189,596,1
461,597,1
462,598,1
256,599,1
463,97,1
53,602,1
464,97,1
23,603,1
205,603,1
465,604,1
466,604,1
84,605,1
307,606,1
253,607,1
93,88,1
88,88,1
468,609,1
469,610,1
470,612,1
471,613,1
472,614,1
473,615,1
113,616,1
21,616,1
474,617,1
475,618,1
476,615,1
477,615,1
82,42,1
145,42,1
250,620,1
478,621,1
479,105,1
480,622,1
199,623,1
481,624,1
482,625,1
252,626,1
483,627,1
484,628,1
486,630,1
487,630,1
332,631,1
307,633,1
350,630,1
489,630,1
490,634,1
323,635,1
491,242,1
492,242,1
14,637,1
262,638,1
48,639,1
493,641,1
495,643,1
145,84,1
67,84,1
73,84,1
147,84,1
130,84,1
261,84,1
245,644,1
496,646,1
497,645,1
88,100,1
133,100,1
358,647,1
499,649,1
78,511,1
431,511,1
76,503,1
78,503,1
70,503,1
213,503,1
199,651,1
63,95,1
78,75,1
431,75,1
76,75,1
133,75,1
68,75,1
441,653,1
70,488,1
74,654,1
76,488,1
24,655,1
501,523,1
502,657,1
503,658,1
504,659,1
506,662,1
52,70,1
187,492,1
507,663,1
498,664,1
508,665,1
249,666,1
509,667,1
201,668,1
290,272,1
510,59,1
511,669,1
512,670,1
194,59,1
223,59,1
151,59,1
49,59,1
88,276,1
12,276,1
101,99,1
323,674,1
104,565,1
145,557,1
39,676,1
516,674,1
146,487,1
201,538,1
73,42,1
78,151,1
80,230,1
216,651,1
257,679,1
211,680,1
76,100,1
51,487,1
101,561,1
154,178,1
518,681,1
519,630,1
218,42,1
522,683,1
67,561,1
117,684,1
344,685,1
116,686,1
153,175,1
240,687,1
120,688,1
153,689,1
16,171,1
283,690,1
523,691,1
524,626,1
79,108,1
194,173,1
525,694,1
355,695,1
116,696,1
61,697,1
526,559,1
156,563,1
527,698,1
82,169,1
14,699,1
101,566,1
528,701,1
529,702,1
530,703,1
433,704,1
502,705,1
531,706,1
532,707,1
153,178,1
134,488,1
533,708,1
384,79,1
205,709,1
534,710,1
535,711,1
23,712,1
125,713,1
126,565,1
409,714,1
426,715,1
536,716,1
454,717,1
61,718,1
61,719,1
61,720,1
61,718,1
61,721,1
131,722,1
28,723,1
134,149,1
80,149,1
431,149,1
134,150,1
63,150,1
213,150,1
55,85,1
69,143,1
93,151,1
80,152,1
193,153,1
255,154,1
193,155,1
237,549,1
17,157,1
157,157,1
38,553,1
537,520,1
37,724,1
37,725,1
538,726,1
539,162,1
540,162,1
541,162,1
542,162,1
543,162,1
544,162,1
545,162,1
546,162,1
79,164,1
62,166,1
51,67,1
79,167,1
145,61,1
218,61,1
147,61,1
65,61,1
20,167,1
59,80,1
27,80,1
51,80,1
65,80,1
62,557,1
39,728,1
547,169,1
328,729,1
92,174,1
104,561,1
104,71,1
104,560,1
152,99,1
104,99,1
154,176,1
67,176,1
77,176,1
67,175,1
155,176,1
155,175,1
153,176,1
77,178,1
156,179,1
155,179,1
18,119,1
201,730,1
118,180,1
85,181,1
345,181,1
549,731,1
428,186,1
167,187,1
550,732,1
186,82,1
551,82,1
458,82,1
169,733,1
552,707,1
553,707,1
167,44,1
554,734,1
555,735,1
345,192,1
176,192,1
556,736,1
155,193,1
557,116,1
192,737,1
558,738,1
316,739,1
14,200,1
559,200,1
77,740,1
561,742,1
40,744,1
153,90,1
135,208,1
563,745,1
53,746,1
154,97,1
564,97,1
565,97,1
566,97,1
567,97,1
92,97,1
570,97,1
574,747,1
318,747,1
45,748,1
71,490,1
85,490,1
345,490,1
310,211,1
85,211,1
253,514,1
24,213,1
266,749,1
81,750,1
438,751,1
53,218,1
576,752,1
578,753,1
199,754,1
63,88,1
133,88,1
333,756,1
213,230,1
63,77,1
55,230,1
579,612,1
580,757,1
340,759,1
527,760,1
583,762,1
491,127,1
146,236,1
59,236,1
402,49,1
150,49,1
74,238,1
24,238,1
380,764,1
584,238,1
212,238,1
581,765,1
585,630,1
586,242,1
120,242,1
587,242,1
290,766,1
82,72,1
157,768,1
20,72,1
589,769,1
590,770,1
469,770,1
237,249,1
323,771,1
103,772,1
66,250,1
84,773,1
591,774,1
140,775,1
356,776,1
592,777,1
594,779,1
595,780,1
597,782,1
176,783,1
187,784,1
598,785,1
599,787,1
582,788,1
475,789,1
600,790,1
602,271,1
603,792,1
396,793,1
199,794,1
187,795,1
604,796,1
605,273,1
120,797,1
13,59,1
607,799,1
608,277,1
421,112,1
51,106,1
340,705,1
381,801,1
155,177,1
126,804,1
312,805,1
609,806,1
610,265,1
126,807,1
147,166,1
529,808,1
611,190,1
61,539,1
612,185,1
424,810,1
613,811,1
614,603,1
27,42,1
52,813,1
361,814,1
57,173,1
104,174,1
16,497,1
616,277,1
167,528,1
601,815,1
56,817,1
617,818,1
618,819,1
61,820,1
619,821,1
620,527,1
154,99,1
147,169,1
156,71,1
622,823,1
145,164,1
623,186,1
484,162,1
104,193,1
624,825,1
134,75,1
88,150,1
372,126,1
22,827,1
135,205,1
625,97,1
548,49,1
73,108,1
626,269,1
218,166,1
358,90,1
65,165,1
261,80,1
628,829,1
261,67,1
2,97,1
629,830,1
481,831,1
12,230,1
554,801,1
608,832,1
630,833,1
631,538,1
27,834,1
24,835,1
420,837,1
123,838,1
68,152,1
52,839,1
46,620,1
220,59,1
123,840,1
423,841,1
52,842,1
123,843,1
211,844,1
199,845,1
14,846,1
18,697,1
14,847,1
316,848,1
45,849,1
599,851,1
599,851,1
22,852,1
83,853,1
114,545,1
