gene_name,drug_name,interaction_source_db_name,interaction_score,interaction_type
NUDT2,ETORPHINE,GuideToPharmacology,1,agonist
DTNB,COMPOUND 8E [PMID: 24432909],GuideToPharmacology,1,inhibitor
F10,GDC-0339,GuideToPharmacology,1,inhibitor
RYR3,RYANODINE,GuideToPharmacology,1,activator
AQP1,[125I]TYR11-SRIF-14,GuideToPharmacology,1,agonist
ANXA2P1,NEUROPEPTIDE B-29,GuideToPharmacology,1,agonist
PRMT1,RM65,GuideToPharmacology,1,inhibitor
F10,SGI-1776,GuideToPharmacology,1,inhibitor
CACNA1D,AMLODIPINE BESYLATE,GuideToPharmacology,1,inhibitor
AQP3,"[SAR9,MET(O2)11]SP",GuideToPharmacology,1,agonist
GCNT2,BIX-01294,GuideToPharmacology,1,inhibitor
ASAH1,PICROTOXIN,GuideToPharmacology,1,blocker
CD8B,BUPROPION HYDROCHLORIDE,GuideToPharmacology,1,inhibitor
PTK2B,GILTERITINIB,GuideToPharmacology,1,inhibitor
CTRB1,Y27632,GuideToPharmacology,1,inhibitor
CCR3,DALUTRAFUSP ALFA,GuideToPharmacology,1,antibody
SLC25A6,AZD6538,GuideToPharmacology,1,modulator
APLP1,LV-2172,GuideToPharmacology,1,agonist
ABL2,WB 4101,GuideToPharmacology,1,inhibitor
RND3,ALPROSTADIL,GuideToPharmacology,1,activator
AZF1,R-L3,GuideToPharmacology,1,activator
CD8B2,COMPOUND 58 [PMID: 25037917],GuideToPharmacology,1,inhibitor
NATP,THIORIDAZINE,GuideToPharmacology,1,inhibitor
AADAC,(-)-YM796,GuideToPharmacology,1,agonist
BBS1,GNE-131,GuideToPharmacology,1,inhibitor
ABCC6,TOLVAPTAN,GuideToPharmacology,1,inhibitor
A12M3,NEFAZODONE,GuideToPharmacology,1,inhibitor
GCNT1,PINOMETOSTAT,GuideToPharmacology,1,inhibitor
AQP3,ROLAPITANT,GuideToPharmacology,1,inhibitor
DRD2,AXITINIB,GuideToPharmacology,1,inhibitor
A12M4,METHYLERGONOVINE,GuideToPharmacology,1,agonist
TRDMT1,COMPOUND 13R [PMID: 23639540],GuideToPharmacology,1,inhibitor
APAF1,NOR-BINALTORPHIMINE,GuideToPharmacology,1,inhibitor
ABCA2,AS95,GuideToPharmacology,1,inhibitor
ARSL,PICROTOXIN,GuideToPharmacology,1,blocker
ELAVL2,COMPOUND 17 [PMID: 23642479],GuideToPharmacology,1,inhibitor
BNIP3,ANDROGRAPHOLIDE,GuideToPharmacology,1,agonist
BARD1,VERATRIDINE,GuideToPharmacology,1,activator
A1BG,(R)-UH 301,GuideToPharmacology,1,agonist
GATM,GLOFITAMAB,GuideToPharmacology,1,antibody
BTNL1,HG2+,GuideToPharmacology,1,inhibitor
NMUR2,CPN-219,GuideToPharmacology,1,agonist
ABCC6,"[PHAA1,D-TYR(ET)2,VAL4,LYS6,TYR-NH28,DES-GLY9]AVP",GuideToPharmacology,1,inhibitor
A1BG,(-)-TERTATOLOL,GuideToPharmacology,1,inhibitor
FOS,ODANACATIB,GuideToPharmacology,1,inhibitor
ABR,BI-167107,GuideToPharmacology,1,agonist
DHFR,TRIMETREXATE,GuideToPharmacology,1,inhibitor
ABCA2,BW-A1433,GuideToPharmacology,1,inhibitor
DCR,MARIMASTAT,GuideToPharmacology,1,inhibitor
H2AZ1,ERW1041E,GuideToPharmacology,1,inhibitor
DPH1,BMS-536924,GuideToPharmacology,1,inhibitor
ABCA3,MRS1505,GuideToPharmacology,1,inhibitor
KLF5,5-HYDROXYMETHYL-2-FURFURAL,GuideToPharmacology,1,blocker
DXO,ERLOTINIB,GuideToPharmacology,1,inhibitor
FRA5D,COMPOUND 9 [PMID: 3514912],GuideToPharmacology,1,inhibitor
CBLN1,THREO-3-METHYLGLUTAMATE,GuideToPharmacology,1,inhibitor
APOF,PZM21,GuideToPharmacology,1,agonist
A12M1,ZIPRASIDONE,GuideToPharmacology,1,agonist
CSTF3,PIFUSERTIB,GuideToPharmacology,1,inhibitor
DPYS,PF-562271,GuideToPharmacology,1,inhibitor
GRIN2C,L689560,GuideToPharmacology,1,inhibitor
SLC29A1,LADUVIGLUSIB,GuideToPharmacology,1,inhibitor
F2R,"N-(5-{4-CHLORO-3-[(2-HYDROXYETHYL)SULFAMOYL]PHENYL}-4-METHYL-1,3-THIAZOL-2-YL)ACETAMIDE",GuideToPharmacology,1,inhibitor
EEF1D,KW-2449,GuideToPharmacology,1,inhibitor
C4BPAP2,CARBENOXOLONE,GuideToPharmacology,1,inhibitor
FRA1L,NTE-1,GuideToPharmacology,1,inhibitor
ALDH2,SERTINDOLE,GuideToPharmacology,1,inhibitor
MSTN,DACINOSTAT,GuideToPharmacology,1,inhibitor
GNRHR,ALARELIN,GuideToPharmacology,1,agonist
BBS4,AM-6120,GuideToPharmacology,1,inhibitor
CTAA1,G&OUML; 6983,GuideToPharmacology,1,inhibitor
A2MP1,XANOMELINE,GuideToPharmacology,1,agonist
AQP8,MISOPROSTOL,GuideToPharmacology,1,agonist
ABL2,APOMORPHINE,GuideToPharmacology,1,inhibitor
ACACA,CASOXIN C,GuideToPharmacology,1,agonist
F5,AZD8835,GuideToPharmacology,1,inhibitor
